"Facility ID","Lust ID","Confirmed Release","Cleanup Complete","Enforcement Effective","Enforcement Termination",Ec,Delete
3-010138,313,12/04/1989,06/30/1992, , ,No,
3-010139,23,06/30/1992,03/20/2001,06/30/1992,03/20/2001,No,
3-010139,1369,08/24/2006,04/11/2016,08/24/2006,04/11/2016,Yes,
3-010140,1144,07/02/2004,07/02/2004, , ,No,
3-010141,314,08/28/1990,11/01/1992, , ,No,
3-010142,315,03/21/1991,07/01/1995, , ,No,
3-010143,316,09/26/1994,08/17/1996, , ,No,
3-010143,317,07/01/1995,07/01/1995, , ,No,
3-010143,318,07/08/1996,01/22/1997, , ,No,
3-010143,319,07/01/1992,03/01/1995, , ,No,
3-010144,320,05/01/1993,10/18/1996, , ,No,
3-010148,321,04/08/1992,05/29/1992, , ,No,
3-010155,24,12/23/1997,05/01/2007,12/08/2006, ,No,
3-010158,25,12/02/1993,04/15/1994, , ,No,
3-010159,322,08/10/1993,08/24/1993, , ,No,
3-010160,856,07/22/1998,02/20/2002, , ,No,
3-010161,26,02/01/1993,06/20/2003, , ,No,
3-010163,323,08/08/1990,06/30/1993, , ,No,
3-010164,27,08/18/1992,07/23/1999, , ,No,
3-010168,308,09/05/1996,09/05/1996, , ,No,
3-010170,958,03/05/1998,05/15/2002, , ,No,
3-010174,324,07/13/1990,07/13/1990, , ,No,
3-010175,283,07/01/1995,07/01/1995, , ,No,
3-010179,284,10/02/1996,10/27/1997, , ,No,
3-010181,858,09/11/1998,10/14/1998, , ,No,
3-010183,1268,08/06/1999, ,08/06/1999, ,No,
3-010186,285,07/13/1992,07/16/1992, , ,No,
3-010191,28,03/01/1993,03/24/2003, , ,No,
3-010192,2251,01/02/1997,01/03/1997, , ,No,
3-010200,1151,12/27/2004,05/29/2007,12/08/2006, ,No,
3-010201,2254,12/18/2013,12/23/2013,10/08/2013, ,No,
3-010204,30,07/02/1995,01/12/2001, , ,No,
3-010205,286,06/30/1992,06/30/1992, , ,No,
3-010207,2374,04/06/1990,06/30/1992, , ,No,
3-010207,2376,02/05/1993,12/08/1998, , ,No,
3-010207,2389,10/25/1990,10/16/1991, , ,No,
3-010211,288,06/30/1992,06/30/1992, , ,No,
3-010213,435,03/08/1990,05/18/1990, , ,No,
3-010215,436,09/01/1993,03/01/1994, , ,No,
3-010216,31,05/26/1992,01/04/2007,12/04/2006, ,No,
3-010216,1387,05/23/2006,01/04/2007,05/23/2006, ,No,
3-010216,1568,09/23/2008,11/17/2008,09/23/2008, ,No,
3-010218,1090,10/08/1998,02/17/1999, , ,No,
3-010220,437,09/16/1996,09/16/1996, , ,No,
3-010224,438,04/01/1993,05/16/1994, , ,No,
3-010225,439,12/31/1991,08/02/1995, , ,No,
3-010228,32,07/01/1995,12/29/1997, , ,No,
3-010231,33,05/11/1994,12/09/1998,01/31/1995,09/26/2001,No,
3-010231,1678,06/24/2009,08/15/2017,06/25/2009,08/15/2017,No,
3-010231,2284,05/03/2016,08/15/2017, , ,No,
3-010235,1121,06/19/2003,09/06/2016,06/19/2003,09/09/2016,Yes,
3-010239,440,02/02/1995,03/21/1995, , ,No,
3-010245,441,05/14/1991,05/30/1994, , ,No,
3-010248,1150,12/27/2004,12/22/2016,12/27/2004,12/22/2016,Yes,
3-010249,2191,08/07/2012,08/02/2016, , ,No,
3-010252,34,07/28/1995,12/07/1998, , ,No,
3-010254,442,07/14/1993,07/14/1993, , ,No,
