"Facility ID","Lust ID","Confirmed Release","Cleanup Complete","Enforcement Effective","Enforcement Termination",Ec,Delete
3-370022,896,12/01/1991,02/01/1992, , ,No,
3-370023,1839,08/10/2010,10/05/2021,08/10/2010,10/05/2021,No,
3-370023,2351,09/19/2019,10/05/2021,01/06/2020,10/05/2021,No,
3-370025,1194,01/04/2001,02/03/2005,05/03/2004, ,No,
3-370028,897,05/01/1991,05/01/1991, , ,No,
3-370031,898,10/07/1994,07/20/1995, , ,No,
3-370031,899,03/21/1995,05/18/1995, , ,No,
3-370034,1043,03/11/1996,10/20/2009, , ,No,
3-370041,893,05/01/1990,05/01/1991, , ,No,
3-370600,901,11/13/1995,01/10/1996, , ,No,
3-370601,2294,10/01/2015,12/03/2019,07/13/2016,12/03/2019,No,
3-370607,894,06/07/1995,09/12/1995, , ,No,
3-370608,900,09/01/1995,09/01/1995, , ,No,
3-370617,1001,08/08/1997,02/02/1998, , ,No,
3-380001,1105,03/02/1999,06/01/1999, , ,No,
3-380001,2051,02/16/2012,06/28/2016, , ,No,
3-380001,2411,10/03/2023, ,11/03/2023, ,No,
3-380003,1211,06/20/2001,02/14/2003, , ,No,
3-380004,137,03/26/1992,04/07/2020,05/09/1993,08/13/2020,No,
3-380009,903,04/01/1990,08/15/1994, , ,No,
3-380010,904,05/11/1992,05/11/1992, , ,No,
3-380017,138,12/04/1991,11/09/2009, , ,No,
3-380024,4,12/13/1993,08/30/2010,12/13/1993, ,No,
3-380024,1115,03/21/2003,08/30/2010,12/12/2006, ,No,
3-380025,905,01/01/1990,06/30/1993, , ,No,
3-380032,906,09/01/1989,03/01/1990, , ,No,
3-380034,2414,10/24/2023, ,01/10/2025, ,No,
3-380050,2264,07/31/2014,06/24/2015,07/31/2014, ,No,
3-380054,140,04/01/1990,12/28/2000, , ,No,
3-380054,1498,05/20/2008,04/16/2009,10/08/2008, ,No,
3-380600,907,06/23/1997,12/11/1997, , ,No,
3-380604,3,11/01/2005,07/10/2014,12/12/2006, ,No,
3-380612,1070,01/05/1990,12/09/2008,03/15/2007, ,No,
3-430002,157,06/30/1992,12/11/2015,06/30/1992,12/11/1992,No,
3-430004,825,10/30/1990,02/01/1994, , ,No,
3-430009,2390,10/01/1991,08/29/2002, , ,No,
3-430010,1322,06/26/2002,11/08/2010, , ,No,
3-430011,1425,08/10/2007,08/20/2018,08/10/2007,08/20/2018,Yes,
3-430011,2365,12/09/2020,04/05/2021,12/09/2020,04/05/2021,No,
3-430012,830,05/03/1995,09/18/1997, , ,No,
3-430014,827,08/21/1990,12/01/1992, , ,No,
3-430015,2211,10/12/2012,07/09/2014, , ,No,
3-430017,832,11/01/1995,01/31/1996, , ,No,
3-430024,159,09/15/1992,06/03/2016,12/08/2006,06/03/2016,Yes,
3-430027,2308,09/06/2017,11/14/2017,09/07/2017,11/14/2017,No,
3-430034,1029,04/14/1998, ,12/31/2024, ,No,
3-430035,833,06/30/1992,12/12/1995, , ,No,
3-430035,2423,08/08/2024,01/17/2025,08/08/2024,01/17/2025,No,
3-430039,834,08/12/1992,06/01/1993, , ,No,
3-430040,1207,05/03/2001,12/12/2006,09/21/2005, ,No,
3-430049,158,11/23/1993,03/22/2007,12/08/2006, ,No,
3-430053,160,08/13/1990,08/21/2002, , ,No,
3-430055,161,04/01/1993,12/27/2017,04/01/1993,12/27/2017,Yes,
3-430056,835,09/01/1993,10/15/1993, , ,No,
3-430062,826,10/10/1989,01/22/1996, , ,No,
3-430064,828,11/22/1993,08/15/1994, , ,No,
3-430065,1019,06/30/1998,12/21/2004, , ,No,
3-430600,836,10/01/1991,11/25/1996, , ,No,
3-430604,837,11/11/1993,01/30/1994, , ,No,
3-430605,156,06/30/1992,12/16/2016,06/30/1992,12/16/2016,No,
3-430606,1106,07/01/1998,12/21/1998, , ,No,
3-430608,983,06/30/1992,12/29/1994, , ,No,
3-430609,984,10/10/1995,11/19/1997, , ,No,
3-430610,1280,10/28/1999,08/02/2002, , ,No,
3-430612,1295,11/22/1999,11/11/2000,11/22/1999, ,No,
3-430613,985,05/23/1991,07/15/1991, , ,No,
3-430613,1849,10/08/2010,01/04/2023,10/08/2010,01/04/2023,Yes,
3-430614,986,10/01/1992,03/01/1993, , ,No,
3-430617,363,10/12/1993,10/12/1993, , ,No,
3-430617,2330,10/04/2018,12/03/2018,10/04/2018,12/03/2018,No,
3-430619,1733,11/13/2009,01/07/2010,11/13/2009, ,No,
3-430620,987,06/28/1995,02/26/1996, , ,No,
3-430620,988,09/01/1993,05/10/1995, , ,No,
3-430621,989,05/06/1994,10/15/1994, , ,No,
3-430622,829,04/19/1994,06/15/1994, , ,No,
3-430625,1244,11/03/1999,10/02/2001,11/05/1999, ,No,
3-440003,1247,04/01/1998,11/02/2011,04/01/1998,11/03/2011,Yes,
3-440006,162,04/10/1997,04/05/2001, , ,No,
3-440007,1045,06/26/1996,01/23/2006, , ,No,
3-440009,994,01/01/1990,01/22/1996, , ,No,
3-440014,1074,12/22/1998,01/03/2007,05/12/1999, ,No,
3-440016,992,03/01/1990,07/01/1991, , ,No,
3-440017,1583,11/05/2008,10/06/2009, , ,No,
3-440022,343,08/01/1991,07/28/2005, , ,No,
3-440024,344,12/01/1989,11/26/2002, , ,No,
3-440025,995,10/01/1989,07/01/1991, , ,No,
3-440033,991,10/15/1989,10/18/1993, , ,No,
3-440034,990,01/01/1989,07/01/1989, , ,No,
3-440038,993,03/01/1990,11/21/1991, , ,No,
3-440040,345,04/01/1990,02/21/2002, , ,No,
3-440040,1951,05/17/2011,10/02/2015,05/17/2011, ,No,
3-440606,346,05/20/1996,06/05/2008,12/12/2006, ,No,
3-440609,1026,05/19/1998,11/26/2002, , ,No,
3-440611,971,03/26/1998,10/04/2002, , ,No,
4-070006,1167,09/30/1998,06/29/2000, , ,No,
4-070008,63,11/18/1997,04/02/1998, , ,No,
4-070008,1148,10/29/2004,12/30/2004, , ,No,
4-070010,404,10/20/1993,11/01/1993, , ,No,
4-070020,64,07/17/1991,07/09/2003,04/29/1992, ,No,
4-070025,1335,09/30/2005,10/01/2005, , ,No,
4-070027,405,10/01/1992,11/01/1992, , ,No,
4-070029,406,09/04/1991,07/30/1992, , ,No,
4-070033,65,06/09/1997,11/18/1999,04/29/1999, ,No,
4-070033,407,11/13/1996,01/30/1997, , ,No,
4-070034,1088,10/27/1998,01/06/1999, , ,No,
4-070035,1116,04/15/1996, ,04/15/1996, ,No,
4-070039,413,06/08/1994,07/29/1994, , ,No,
4-070042,408,06/30/1992,06/30/1992, , ,No,
4-070046,409,06/14/1995,12/06/1995, , ,No,
4-070046,410,12/01/1993,04/14/1994, , ,No,
4-070048,402,08/01/1992,08/01/1992, , ,No,
4-070048,1013,08/01/1992,08/01/1992, , ,No,
4-070048,1014,08/01/1993,08/01/1993, , ,No,
4-070048,1272,05/05/1999,08/16/1999, , ,No,
4-070050,66,07/16/1997,01/06/1998, , ,No,
4-070050,1004,06/09/1998,08/09/1998, , ,No,
4-070051,67,07/15/1997,01/06/1998, , ,No,
4-070053,68,06/20/1992,07/06/2016, , ,No,
4-070057,865,10/07/1998,10/20/1998,10/18/1998, ,No,
4-070057,1364,07/24/2006,09/14/2006,08/22/2006, ,No,
4-070061,411,06/01/1995,09/29/1995, , ,No,
4-070061,2301,11/16/2016,12/28/2016,11/16/2016,12/28/2016,No,
4-070062,412,06/01/1994,11/15/1994, , ,No,
4-070069,1350,10/22/2002,11/25/2002, , ,No,
4-070070,1012,05/16/1990,06/30/1992, , ,No,
4-070073,414,07/22/1991,10/18/1994, , ,No,
4-070605,415,06/15/1992,06/16/1992, , ,No,
4-070606,416,06/15/1992,06/16/1992, , ,No,
4-070609,401,06/30/1992,06/30/1992, , ,No,
4-070609,1131,12/21/2003,06/07/2006, , ,No,
4-070610,417,03/01/1991,03/01/1991, , ,No,
4-070615,418,06/06/1995,06/06/1995, , ,No,
4-070618,403,09/25/1995,12/01/1995, , ,No,
4-070620,999,04/14/1998,06/16/1998, , ,No,
4-070635,1126,10/23/2003,06/06/2004, , ,No,
4-070636,1154,11/18/2004,12/13/2004, , ,No,
4-130003,1302,10/05/1993,12/12/2000,06/01/1994, ,No,
4-130004,508,06/30/1992,06/30/1992, , ,No,
4-130006,509,06/15/1994,07/15/1994, , ,No,
4-130007,510,11/27/1989,06/30/1992, , ,No,
4-130011,1260,06/15/1999,09/12/2000, , ,No,
4-130014,511,05/07/1994,05/24/1994, , ,No,
4-130017,636,04/21/1990,08/18/1999, , ,No,
4-130603,996,06/04/1998,11/15/2002, , ,No,
4-160006,599,12/09/1992,12/10/1992, , ,No,
4-160011,600,12/08/1993,12/08/1993, , ,No,
4-160014,602,11/02/1993,11/20/1993, , ,No,
4-160016,603,06/25/1997,04/02/1998, , ,No,
4-160017,604,05/31/1996,08/26/1996, , ,No,
4-160020,605,06/01/1992,06/01/1992, , ,No,
4-160029,606,08/19/1989,06/30/1992, , ,No,
4-160036,218,04/14/1997,01/28/1998, , ,No,
4-160039,607,05/30/1990,06/30/1992, , ,No,
4-160042,1065,12/08/1998,06/28/1999,12/08/1998, ,No,
4-160042,1290,08/13/1999,12/07/1999, , ,No,
4-160048,1753,12/02/2009,03/05/2010, , ,No,
4-160051,609,09/01/1992,03/08/1994, , ,No,
4-160052,2394,06/10/2022, ,10/05/2023, ,No,
4-160055,610,06/01/1994,06/20/1994, , ,No,
4-160058,1259,05/18/1999,07/18/1999, , ,No,
4-160062,612,03/01/1993,03/08/1993, , ,No,
4-160065,613,03/09/1992,06/30/1992, , ,No,
4-160070,1086,12/01/1998,01/06/1999, , ,No,
4-160080,1166,10/01/1998,11/02/1998, , ,No,
4-160082,614,10/15/1996,12/27/1996, , ,No,
4-160082,2400,12/03/2021,08/21/2023,06/02/2023,12/21/2023,No,
4-160091,1015,06/30/1992,06/30/1992, , ,No,
4-160100,615,09/16/1994,09/16/1994, , ,No,
4-160102,219,11/29/1991,06/21/2002,04/29/1999, ,No,
4-160109,598,11/05/1989,06/30/1992, , ,No,
4-160122,217,06/30/1992,01/30/2017,03/29/1991,06/05/2017,Yes,
4-160125,616,06/30/1992,06/30/1992, , ,No,
4-160126,2259,10/26/2009,09/18/2013, , ,No,
4-160601,220,12/01/1991,10/09/2003,04/29/1999, ,No,
4-160602,617,02/08/1994,02/15/1998, , ,No,
4-160603,601,04/07/1993,04/10/1993, , ,No,
4-160603,1250,11/04/1998, ,11/04/1998, ,No,
4-160604,973,08/07/1998,11/03/1998, , ,No,
4-160607,618,08/01/1991,08/09/1991, , ,No,
4-160610,527,09/04/1991,06/30/1992, , ,No,
4-160626,2,11/02/2005,12/05/2005, , ,No,
4-160630,1206,11/17/1997,07/19/2000, , ,No,
4-160630,2295,06/29/2016,07/20/2017,06/29/2016,07/20/2017,No,
4-160632,528,12/13/1996,05/23/1997, , ,No,
4-160638,221,09/21/1994,11/08/1994, , ,No,
4-160640,1035,09/26/1995,10/20/1995, , ,No,
4-160641,529,01/06/1996,01/23/1996, , ,No,
4-160644,1037,05/01/1993,06/01/1993, , ,No,
4-160646,1351,06/05/2002,10/08/2002,07/26/2002,10/16/2002,No,
4-160646,1431,11/01/2007,12/13/2007,11/01/2007, ,No,
4-160648,1072,12/16/1998,03/23/1999, , ,No,
4-160650,1178,05/31/2000,09/29/2000, , ,No,
4-240001,726,05/09/1996,05/09/1996, , ,No,
4-240002,725,02/29/1996,04/18/1996, , ,No,
4-240004,2344,02/14/2019,01/03/2020,06/05/2019,01/03/2020,No,
4-240005,2314,12/05/1992,10/22/2000,04/26/1993,12/21/2005,No,
4-240010,727,10/17/1995,12/06/1995, , ,No,
4-240012,1292,01/10/2000,02/15/2000, , ,No,
4-240015,728,09/24/1997,09/24/1997, , ,No,
4-240016,723,03/01/1995,03/01/1995, , ,No,
4-240016,729,02/24/1994,03/01/1994, , ,No,
4-240020,1763,01/08/2010,02/23/2010,01/08/2010, ,No,
4-240023,1034,12/01/1997,09/07/2005, , ,No,
4-240028,1033,12/26/1991,06/06/1995,04/29/1999, ,No,
4-240029,730,06/19/1995,08/08/1995, , ,No,
4-240029,731,05/20/1997,08/01/1997, , ,No,
4-240031,732,08/13/1991,06/30/1992, , ,No,
4-240035,733,07/30/1997,08/25/1997, , ,No,
4-240044,734,07/17/1996,11/14/1996, , ,No,
4-240045,735,06/30/1992,06/30/1992, , ,No,
4-240047,2417,11/14/2023, ,11/14/2023, ,No,
4-240600,736,06/30/1992,06/30/1992, , ,No,
4-240609,737,05/02/1994,05/04/1994, , ,No,
4-240611,2401,11/08/2022,03/03/2023,11/16/2022,03/03/2023,No,
4-240613,722,03/03/1994,03/03/1994, , ,No,
4-240618,724,03/01/1995,06/01/1995, , ,No,
4-240618,944,07/28/1998,07/07/1999, , ,No,
4-270001,103,06/03/1997,03/18/1998, , ,No,
4-270008,849,06/30/1992,06/30/1992, , ,No,
4-270008,1289,10/11/1997,11/24/1999, , ,No,
4-270008,2412,08/15/2023,03/01/2024,08/15/2023,03/01/2024,No,
4-270011,753,06/30/1992,07/30/1992, , ,No,
4-270016,749,01/08/1992,06/30/1992, , ,No,
4-270025,754,10/12/1988,06/30/1992, , ,No,
4-270030,755,08/12/1996,03/07/1997, , ,No,
4-270031,756,12/01/1992,01/01/1993, , ,No,
4-270032,757,03/04/1996,04/18/1996, , ,No,
4-270034,2354,03/04/2020,05/27/2020,03/04/2020,05/27/2020,No,
4-270035,758,07/21/1994,07/21/1994, , ,No,
4-270041,759,05/04/1995,05/04/1995, , ,No,
4-270043,104,11/03/1994,09/15/1996, , ,No,
4-270043,760,06/01/1994,06/01/1994, , ,No,
4-270057,761,11/16/1994,11/16/1994, , ,No,
4-270058,762,05/08/1995,05/08/1995, , ,No,
4-270066,763,06/30/1992,06/30/1992, , ,No,
4-270067,764,06/30/1992,06/30/1992, , ,No,
4-270071,765,11/01/1992,05/20/1993, , ,No,
4-270604,751,10/08/1991,10/16/1991, , ,No,
4-270604,766,06/30/1992,06/30/1992, , ,No,
4-270606,767,05/03/1995,05/03/1995, , ,No,
4-270610,1240,11/13/2001,07/22/2002, , ,No,
4-270613,768,03/12/1997,07/23/1997, , ,No,
4-270614,750,08/25/1993,08/27/1993, , ,No,
4-270617,1016,05/08/1995,05/08/1995, , ,No,
4-270618,1017,05/05/1995,05/08/1995, , ,No,
4-270621,752,02/27/1995,02/27/1995, , ,No,
4-270622,1036,09/07/1989,06/30/1992, , ,No,
4-320006,691,12/22/1993,12/23/1993, , ,No,
4-320008,692,03/05/1996,04/18/1996, , ,No,
4-320008,693,05/06/1992,05/08/1992, , ,No,
4-320010,2327,08/02/2018,03/11/2020,08/02/2018, ,No,
4-320014,1310,06/02/2000,06/07/2001, , ,No,
4-320600,1293,12/02/1998,02/22/2000, , ,No,
4-320601,972,08/10/1998,09/08/1998, , ,No,
4-320607,694,10/08/1994,10/08/1994, , ,No,
4-320612,1307,06/02/2000,06/07/2001, , ,No,
4-340006,700,02/01/1995,03/19/2024, , ,No,
4-340006,1261,11/08/1998,03/19/2024,06/02/2022,03/19/2024,No,
4-340008,1018,09/20/1989,03/08/1994, , ,No,
4-340009,1205,02/08/1994,08/03/2006,08/30/1994,04/13/2006,Yes,
4-340010,1278,10/26/1999,10/02/2000, , ,No,
4-340011,1165,09/18/1998,12/02/1998,08/18/1998, ,No,
4-340020,998,04/11/1998,06/14/2023,04/11/1998,05/28/1999,No,
4-340026,264,12/26/1994,01/03/1995, , ,No,
4-340031,698,02/12/1992,02/12/1992, , ,No,
4-340032,263,04/03/1996,04/19/1996, , ,No,
4-340033,265,06/25/1997,08/19/2003, , ,No,
4-340034,1321,04/28/2005,12/08/2016,10/06/2005,12/08/2016,Yes,
4-340036,266,03/28/1994,03/28/1994, , ,No,
4-340037,267,11/01/1992,05/01/1993, , ,No,
4-340038,127,06/21/1994,10/02/2006, , ,No,
4-340038,128,06/26/1990,04/01/2006,06/30/1992, ,No,
4-340041,268,07/01/1994,03/13/1995, , ,No,
4-340049,269,12/17/1991,06/30/1992, , ,No,
4-340052,1000,04/13/1998,07/22/1998, , ,No,
4-340053,270,07/03/1997,08/25/1997, , ,No,
4-340058,699,12/29/1989,02/20/1996, , ,No,
4-340059,271,11/01/1993,11/01/1993, , ,No,
4-340063,1931,04/05/2011,07/10/2018,12/19/2011,11/01/2018,No,
4-340065,1031,11/16/1994,11/16/1994, , ,No,
4-340072,272,06/30/1992,06/30/1992, , ,No,
4-340603,273,06/30/1992,07/30/1992, , ,No,
4-340604,946,01/06/1992,06/30/1992, , ,No,
4-340609,274,01/31/1991,06/30/1992, , ,No,
4-340612,129,11/01/1992,04/05/2024,11/01/1992,04/05/2024,No,
4-340616,275,06/02/1993,07/01/1993, , ,No,
4-340617,1199,01/23/2001,11/28/2001,01/23/2001, ,No,
4-340621,947,05/17/1989,05/31/1989, , ,No,
4-340626,1340,05/03/2002,05/14/2002,05/03/2002, ,No,
4-340629,1658,05/27/2009,11/30/2009, , ,No,
4-340630,611,08/28/1989,09/19/1995, , ,No,
4-420006,850,02/17/1990,06/30/1992, , ,No,
4-420014,146,06/30/1992, ,12/04/2017, ,No,
4-420016,851,12/12/1990,07/06/1995, , ,No,
4-420018,1339,04/09/2002,04/09/2002,04/09/2002, ,No,
4-420021,870,01/15/1990,09/11/1997, , ,No,
4-420038,872,06/26/1996,10/02/1996, , ,No,
4-420048,1288,11/09/1999,07/20/2000, , ,No,
4-420059,873,02/28/1990,06/30/1992, , ,No,
4-420063,874,08/31/1995,11/14/1995, , ,No,
4-420064,1270,07/13/1999,08/12/1999, , ,No,
4-420066,1068,12/10/1998,01/06/1999, , ,No,
4-420068,1069,12/14/1998,10/13/1999, , ,No,
4-420069,875,04/18/1990,06/30/1992, , ,No,
4-420071,149,10/12/1990,08/30/2011,04/26/1993,02/09/2012,Yes,
4-420073,876,10/01/1992,11/01/1992, , ,No,
4-420080,150,01/14/1991,05/30/2002,06/30/1992, ,No,
4-420081,2317,03/28/2018,08/05/2021,03/28/2018,08/05/2021,No,
4-420081,2370,06/08/2021,09/28/2022,06/14/2021,09/28/2022,No,
4-420087,877,01/17/1990,03/08/1994, , ,No,
4-420090,1185,11/29/2000,01/02/2001, , ,No,
4-420091,878,06/30/1992,06/30/1992, , ,No,
4-420102,879,07/23/1996,12/27/1996, , ,No,
4-420104,880,07/29/1991,06/30/1992, , ,No,
4-420107,1137,02/12/2004,10/17/2007,11/21/2006, ,No,
4-420109,881,08/01/1995,10/02/1995, , ,No,
4-420118,943,07/07/1998,07/22/1998, , ,No,
4-420121,882,09/01/1991,10/05/1991, , ,No,
4-420122,1087,12/13/1998,01/06/1999, , ,No,
4-420130,1094,12/17/1998,01/06/1999, , ,No,
4-420140,883,02/25/1997,05/21/1997, , ,No,
4-420154,147,06/30/1992, ,06/30/1999,02/11/2008,Yes,
4-420157,884,06/16/1994,09/06/1994, , ,No,
4-420157,1140,04/09/2004,07/12/2004, , ,No,
4-420158,1109,12/30/1998,01/11/2000, , ,No,
4-420160,151,11/18/1989,02/28/2001,06/30/1992, ,No,
4-420161,148,11/21/1996,03/18/1998, , ,No,
4-420165,885,06/01/1992,09/01/1992, , ,No,
4-420166,152,07/17/1995,05/19/2000,07/17/1995,05/19/2000,No,
4-420168,886,06/30/1992,06/30/1992, , ,No,
4-420172,887,03/05/1997,06/24/1997, , ,No,
4-420176,153,12/04/1989,08/31/2016,07/07/1993,11/28/2016,Yes,
4-420177,888,11/16/1989,06/30/1992, , ,No,
4-420181,889,05/16/1996,10/16/1997, , ,No,
4-420184,154,10/01/1997,04/10/1998, , ,No,
4-420188,890,12/07/1994,12/07/1994, , ,No,
4-420194,891,07/02/1997,07/28/1997, , ,No,
4-420197,801,06/24/1996,08/29/1996, , ,No,
4-420198,1181,06/30/2000,02/20/2001, , ,No,
4-420203,802,01/30/1990,06/30/1992, , ,No,
4-420216,803,05/01/1993,03/08/1994, , ,No,
4-420237,804,06/30/1992,06/01/1995, , ,No,
4-420239,866,10/08/1998,11/02/1998, , ,No,
4-420243,819,07/18/1994,12/06/1994, , ,No,
4-420246,805,01/03/1990,06/30/1992, , ,No,
4-420249,806,06/30/1992,06/30/1992, , ,No,
4-420600,1083,02/03/1999,03/08/1999, , ,No,
4-420600,1234,12/14/1999,09/18/2001,04/11/2000, ,No,
4-420606,807,08/20/1991,10/28/1992, , ,No,
4-420610,808,06/30/1992,06/30/1992, , ,No,
4-420610,966,02/17/1998,06/14/1999,06/14/1999, ,No,
4-420613,155,10/25/1990,09/18/2003,03/03/1992,09/18/2003,Yes,
4-420615,951,08/13/1998,01/11/2000, , ,No,
4-420617,1032,04/23/1991,06/30/1992, , ,No,
4-420619,809,03/01/1993,05/01/1993, , ,No,
4-420620,810,02/28/1994,02/28/1994, , ,No,
4-420629,811,06/30/1992,10/04/1996, , ,No,
4-420632,812,09/26/1991,07/30/1992,06/30/1992, ,No,
4-420634,813,09/10/1991,06/30/1992, , ,No,
4-420643,2011,10/06/2011,09/21/2012,10/06/2011,09/21/2012,Yes,
4-420644,814,09/10/1991,06/30/1992, , ,No,
4-420645,815,03/20/1992,09/01/1992, , ,No,
4-420653,816,04/01/1992,03/08/1994, , ,No,
4-420658,817,06/30/1992,07/30/1992, , ,No,
4-420672,945,06/30/1992,08/20/1992, , ,No,
4-420674,818,12/29/1993,02/01/1994, , ,No,
4-420680,820,05/10/1995,05/10/1995, , ,No,
4-420681,821,07/14/1995,07/14/1995, , ,No,
4-420682,822,03/24/1995,03/24/1995, , ,No,
4-420686,823,11/22/1995,12/04/1995, , ,No,
4-420687,871,03/27/1993,04/18/1996, , ,No,
4-420688,824,06/18/1996,07/12/1996, , ,No,
4-420694,948,08/07/1996,09/04/1996, , ,No,
4-420695,949,06/22/1989,03/28/2003,06/30/1992, ,No,
4-420696,1147,12/20/1996,03/20/1997, , ,No,
4-420698,1061,05/01/1992,07/30/1992, , ,No,
4-420699,1249,04/28/1999,11/09/1999, , ,No,
4-420700,1095,02/04/1999,03/11/1999, , ,No,
4-420700,2405,03/16/2023,07/20/2023,03/16/2023,07/20/2023,No,
4-420716,1146,09/03/2004,09/29/2004, , ,No,
5-030002,1347,05/09/2002,07/09/2003,11/15/2002, ,No,
5-030003,364,06/30/1992,06/30/1992, , ,No,
5-030006,365,06/30/1992,06/30/1992, , ,No,
5-030008,1349,09/13/2002,08/20/2010,11/21/2006, ,No,
5-030017,366,06/30/1992,06/30/1992, , ,No,
5-030025,367,02/18/1994,10/24/1997, , ,No,
5-030026,44,08/05/1994,07/08/1999,12/19/2006, ,No,
5-030027,2371,12/10/2020,01/06/2023,07/06/2021,01/06/2023,No,
5-030028,1628,11/24/2008,01/02/2009,12/02/2008, ,No,
5-030030,1383,11/07/2006,03/02/2015,12/05/2007,03/23/2015,No,
5-030032,369,08/19/1992,09/01/1992, , ,No,
5-030043,1216,04/20/1999,05/12/1999, , ,No,
5-030045,1407,03/27/2007,05/31/2007, , ,No,
5-030046,370,11/10/1989,09/01/1992, , ,No,
5-030064,371,09/25/1994,10/18/1994, , ,No,
5-030069,372,08/14/1995,08/28/1995, , ,No,
5-030070,373,03/12/1991,06/30/1992, , ,No,
5-030075,1111,01/03/2001,12/30/2002,01/03/2001, ,No,
5-030076,45,06/30/1992,02/17/1998, , ,No,
5-030085,374,06/30/1992,02/10/1993, , ,No,
5-030089,46,01/21/1994,04/22/1999,07/08/1999, ,No,
5-030090,375,06/30/1992,06/30/1992, , ,No,
5-030091,376,06/30/1992,09/28/1994, , ,No,
5-030098,377,05/26/1993,10/04/1993, , ,No,
5-030099,1223,12/26/2000,08/07/2003,04/13/2001, ,No,
5-030099,1386,12/01/2006,12/30/2006,12/01/2006, ,No,
5-030100,378,02/10/1997,04/17/1997, , ,No,
5-030101,1219,04/05/2000,06/06/2001, , ,No,
5-030106,1348,08/13/2002,06/03/2003, , ,No,
5-030106,1397,02/01/2007,06/25/2009, , ,No,
5-030113,980,06/30/1992,06/30/1992, , ,No,
5-030116,379,04/11/1995,12/19/1995, , ,No,
5-030117,380,06/30/1992,05/31/1995, , ,No,
5-030125,862,04/11/1990,04/11/1990, , ,No,
5-030127,381,06/30/1992,07/23/2008,11/21/2006, ,No,
5-030137,863,01/12/1990,10/05/1990, , ,No,
5-030144,382,06/30/1992,06/30/1992, , ,No,
5-030145,1424,07/10/2007,03/26/2009, , ,No,
5-030153,867,04/11/1990,04/11/1990, , ,No,
5-030161,1713,09/30/2009,06/23/2010, , ,No,
5-030164,2324,06/20/2018,09/12/2019,06/20/2018,09/12/2019,No,
5-030168,368,07/09/1991,07/15/1991, , ,No,
5-030168,2340,04/11/2019,11/01/2022,04/11/2019,11/01/2022,No,
5-030172,383,01/04/1994,10/25/1996, , ,No,
5-030172,1317,03/01/2005,02/16/2006, , ,No,
5-030172,1683,10/02/2007,06/23/2009,10/02/2007,06/23/2009,No,
5-030181,1050,10/17/1997,01/27/1998, , ,No,
5-030186,1222,09/15/1999,07/23/2001,09/29/1999, ,No,
5-030191,2383,08/25/2021,11/22/2021, , ,No,
5-030192,384,06/30/1992,04/04/2012,11/21/2006, ,No,
5-030205,2426,09/11/2024, ,10/29/2024, ,No,
5-030206,975,01/16/1990,09/27/2016,07/08/1999,09/27/2016,No,
5-030225,1107,06/30/1992,01/08/1999, , ,No,
5-030626,1435,12/07/2007,03/05/2015,12/19/2007, ,No,
5-030632,2386,08/30/2021,11/19/2021, , ,No,
5-030665,979,11/01/1989,06/30/1992, , ,No,
5-030666,981,08/11/1989,03/17/1990, , ,No,
5-030667,982,06/30/1992,12/23/1992, , ,No,
5-030668,1160,06/30/1992,09/18/1995, , ,No,
5-030669,1161,09/02/1993,09/02/1993, , ,No,
5-030670,1162,08/24/1994,09/12/1994, , ,No,
5-030671,974,11/08/1995,01/27/2003, , ,No,
5-030680,1248,01/16/1992,10/31/1997, , ,No,
5-030701,2415,09/07/2023, ,11/27/2024, ,No,
5-030707,2307,08/09/2017,09/18/2017,08/09/2017,09/18/2017,No,
5-030722,2315,06/01/1998,06/01/1998, , ,No,
5-030723,2349,09/04/2019,11/22/2019,09/04/2019,11/22/2019,No,
5-040001,385,06/28/1993,10/12/1995, , ,No,
5-040004,976,12/01/1990,05/29/2015,11/21/2006,05/29/2015,No,
5-040005,47,07/09/1992,09/06/2011,11/23/1992,09/06/2011,Yes,
5-040006,48,06/30/1992,11/27/2001, , ,No,
5-040012,386,05/06/1994,05/06/1994, , ,No,
5-040015,49,06/30/1992,10/20/2014, , ,No,
5-040025,50,06/30/1992,12/23/1993, , ,No,
5-040028,51,09/12/1996,01/26/1998, , ,No,
5-040031,387,06/30/1992,04/14/1995, , ,No,
5-040034,52,12/20/1990,01/05/1999,07/08/1999, ,No,
5-040036,53,11/15/1993,10/25/2005, , ,No,
5-040609,1164,09/14/1993,11/30/1995, , ,No,
5-060014,396,02/01/1994,02/06/1995, , ,No,
5-060021,1179,08/29/2000,12/06/2013,03/13/2001,06/06/2013,Yes,
5-060030,1,10/01/2005,03/02/2015,11/21/2006, ,No,
5-060034,397,11/21/1994,05/22/2003, , ,No,
5-060047,2297,04/30/2015,12/21/2016,04/30/2015,12/21/2016,No,
5-060052,59,01/06/1995,05/14/2001, , ,No,
5-060069,398,06/30/1992,06/30/1992, , ,No,
5-060073,1217,11/03/1999,12/31/2007,11/27/2006, ,No,
5-060077,399,06/09/1994,12/13/1994, , ,No,
5-060080,1224,08/12/1998,06/19/2001,08/12/1998, ,No,
5-060099,395,06/30/1992,06/30/1992, , ,No,
5-060112,1220,03/17/1999,03/08/2018,06/24/2003,03/13/2018,Yes,
5-060122,400,01/17/1991,11/14/1994, , ,No,
5-060137,2413,10/10/2023, ,10/10/2023, ,No,
5-060138,61,06/30/1992,12/03/2002,06/30/1992,12/03/2002,No,
